Format Version,1.23,Take Name,Take 2024-09-30 02.17.04 PM_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-09-30 02.27.27.419 PM,Total Frames in Take,23631,Total Exported Frames,23631,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B,MSL_turtle_B
,ID,"C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97","C4C2809BF97211EE855F4FEF7B9C2A97"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
221,0.613889,0.025419,0.810301,-0.001306,-0.585461,0.009486,0.004320,-0.057872,0.000838
222,0.616667,0.025805,0.810276,-0.000161,-0.585480,0.007953,0.004175,-0.058965,0.000828
223,0.619444,0.026121,0.810259,0.000841,-0.585490,0.006643,0.004046,-0.059940,0.000831
224,0.622222,0.026365,0.810236,0.001674,-0.585509,0.005572,0.003937,-0.060769,0.000823
225,0.625000,,,,,,,,
226,0.627778,0.026569,0.810046,0.002473,-0.585759,0.004602,0.003832,-0.061638,0.000594
227,0.630556,0.025445,0.810306,-0.001290,-0.585453,0.009434,0.004316,-0.057872,0.001324
228,0.633333,0.024498,0.810539,-0.004621,-0.585154,0.013652,0.004748,-0.054489,0.001303
229,0.636111,0.024967,0.810488,-0.003122,-0.585215,0.011697,0.004552,-0.055956,0.000831
230,0.638889,0.025371,0.810271,-0.001697,-0.585504,0.009905,0.004368,-0.057435,0.000564
231,0.641667,0.025691,0.810251,-0.000577,-0.585519,0.008479,0.004224,-0.058557,0.000830
232,0.644444,0.026012,0.810249,0.000394,-0.585508,0.007189,0.004097,-0.059486,0.000850
233,0.647222,0.026299,0.810062,0.001317,-0.585753,0.005999,0.003982,-0.060432,0.000570
234,0.650000,0.025173,0.810322,-0.002438,-0.585439,0.010827,0.004473,-0.056675,0.001317
235,0.652778,,,,,,,,
236,0.655556,0.024236,0.810538,-0.005569,-0.585159,0.014847,0.004876,-0.053544,0.001286
237,0.658333,0.024717,0.810491,-0.003917,-0.585216,0.012735,0.004666,-0.055194,0.000841
238,0.661111,0.025106,0.810445,-0.002533,-0.585271,0.010984,0.004482,-0.056587,0.000854
239,0.663889,0.025430,0.810417,-0.001340,-0.585299,0.009490,0.004321,-0.057797,0.000831
240,0.666667,0.025783,0.810399,-0.000271,-0.585311,0.008070,0.004184,-0.058824,0.000840
241,0.669444,,,,,,,,
242,0.672222,0.026067,0.810377,0.000624,-0.585329,0.006896,0.004065,-0.059693,0.000839
243,0.675000,0.025076,0.810612,-0.002967,-0.585038,0.011401,0.004529,-0.056025,0.001307
244,0.677778,0.025468,0.810549,-0.001707,-0.585115,0.009762,0.004368,-0.057270,0.000848
245,0.680556,0.024523,0.810741,-0.005055,-0.584870,0.013993,0.004804,-0.053875,0.001305
246,0.683333,0.024971,0.810664,-0.003524,-0.584969,0.012039,0.004604,-0.055408,0.000847
247,0.686111,0.025386,0.810602,-0.002177,-0.585043,0.010289,0.004433,-0.056736,0.000818
248,0.688889,0.024478,0.810802,-0.005397,-0.584784,0.014354,0.004847,-0.053467,0.001299
249,0.691667,,,,,,,,
250,0.694444,0.023609,0.810948,-0.008283,-0.584583,0.018072,0.005225,-0.050596,0.001310
251,0.697222,0.024188,0.810667,-0.006230,-0.584974,0.015493,0.004958,-0.052723,0.000571
252,0.700000,0.023401,0.810829,-0.008919,-0.584747,0.018925,0.005305,-0.050015,0.001316
253,0.702778,0.023973,0.810758,-0.006812,-0.584850,0.016286,0.005033,-0.052166,0.000836
